what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1322154240968
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1322154251937
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1322154340625
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1322154343140
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1322154360812
opened,editor,org.eclipse.wst.jsdt.ui,1.0.200.v200905242047,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1322154361000
activated,editor,org.eclipse.wst.jsdt.ui,1.0.200.v200905242047,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1322154361062
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1322154362265
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1322154364156
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1322154365250
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1322156492859
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1322156496140
activated,editor,org.eclipse.wst.jsdt.ui,1.0.200.v200905242047,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1322156496703
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1322156500750
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1322156550843
started,bundle,org.eclipse.wst.ws.service.policy,1.0.103.v200905151848,"org.eclipse.wst.ws.service.policy",1322156551000
started,bundle,org.eclipse.wst.command.env,1.0.408.v200903110045,"org.eclipse.wst.command.env",1322156551031
started,bundle,org.eclipse.wst.ws,1.1.103.v200903111822,"org.eclipse.wst.ws",1322156551031
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1322156553406
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1322156557734
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.properties",1322156557750
activated,editor,org.eclipse.wst.jsdt.ui,1.0.200.v200905242047,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1322156592781
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1322156593703
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.findNext",1322156713265
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1322156713593
